City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,83.79,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
14,Tual,ID,83.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
15,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
16,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
24,The Valley,AI,75.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
31,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
32,Arraial do Cabo,BR,75.49,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Cayenne,GF,79.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
34,Saint-Pierre,RE,83.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
36,Labuan,MY,89.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
50,Kavieng,PG,83.95,broken clouds,-2.5744,150.7967,Nusa Island Retreat
56,Mount Gambier,AU,80.51,scattered clouds,-37.8333,140.7667,The Commodore
57,Barabai,ID,84.45,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
64,Lahaina,US,78.04,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
69,Sinnamary,GF,75.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
81,Samarai,PG,84.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
82,Faanui,PF,80.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Piaçabuçu,BR,77.38,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
91,San Lorenzo,PY,76.14,moderate rain,-25.3333,-57.5333,Hotel del Sur
99,Mahébourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Port-Gentil,GA,79.43,broken clouds,-0.7193,8.7815,Fengshui Residence
103,San Andrés,CO,80.1,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
104,Waingapu,ID,84.51,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
107,Hithadhoo,MV,82.17,overcast clouds,-0.6,73.0833,Scoop Guest House
119,Atuona,PF,78.78,few clouds,-9.8,-139.0333,Villa Enata
120,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
121,Meulaboh,ID,84.99,overcast clouds,4.1363,96.1285,Kost Pria
124,Kirakira,SB,84.79,overcast clouds,-10.4544,161.9205,SanBiz Lodge
126,Liku,ID,85.96,overcast clouds,-0.7275,119.8922,Wahyu
127,Kendari,ID,86.72,overcast clouds,-3.945,122.4989,Hotel Wixel
134,Labuhan,ID,84.9,scattered clouds,-6.8844,112.2051,DoubleFAG
137,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
140,Inhambane,MZ,78.49,light rain,-23.865,35.3833,Oceano
143,Hobyo,SO,77.65,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
149,Caravelas,BR,75.06,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
151,São João da Barra,BR,75.13,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
152,City of San Pedro,PH,85.35,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
154,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
159,Bubaque,GW,77.54,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
169,Bengkulu,ID,78.24,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
173,Jamame,SO,80.85,broken clouds,0.0722,42.7506,
176,Gizo Government Station,SB,85.82,overcast clouds,-8.103,156.8419,Imagination Island
177,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
178,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
182,Butaritari,KI,82.78,light rain,3.0707,172.7902,Isles Sunset Lodge
189,Kieta,PG,85.26,light rain,-6.2167,155.6333,Uruna Bay Retreat
193,Emerald,AU,87.35,clear sky,-23.5333,148.1667,The Irish Village
198,Miandrivazo,MG,80.06,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
201,Malé,MV,82.11,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
211,Isangel,VU,77.11,moderate rain,-19.55,169.2667,Tanna Lodge
215,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
223,Lufilufi,WS,79.79,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
224,Kudat,MY,83.19,moderate rain,6.8837,116.8477,Dream Garden Hotel
225,Esperance,AU,83.8,clear sky,-33.8667,121.9,Hospitality Esperance
235,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
238,Antalaha,MG,79.61,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
242,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
256,Kavaratti,IN,77.94,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
257,Matara,LK,84.43,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
258,Byron Bay,AU,76.05,light rain,-28.65,153.6167,Backpackers Inn
268,Casa Nova,BR,78.78,overcast clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
274,Ambon City,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
275,Harper,LR,77.79,light rain,4.375,-7.7169,Screensaver
277,Lorengau,PG,84.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
278,Kudahuvadhoo,MV,82.0,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
291,Los Algarrobos,PA,77.45,clear sky,8.5,-82.4333,Waterfall Hostel
300,Honiara,SB,85.5,moderate rain,-9.4333,159.95,Heritage Park Hotel
302,Pozo Colorado,PY,75.9,heavy intensity rain,-23.4923,-58.7972,Hospedaje la Amistad
311,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
314,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
315,Bambanglipuro,ID,85.66,broken clouds,-7.95,110.2833,Puri Brata
319,Mareeba,AU,81.66,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
332,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
