City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Saint-Philippe,RE,-21.3585,55.7679,83.79,89,100,24.61,moderate rain
1,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,0,14.97,clear sky
2,Vaini,TO,-21.2,-175.2,77.16,94,100,18.41,light rain
3,Develi,TR,38.3906,35.4922,24.15,85,82,2.39,broken clouds
4,Borborema,BR,-21.6197,-49.0736,70.32,95,86,4.18,heavy intensity rain
5,Nouadhibou,MR,20.931,-17.0347,65.79,66,13,12.84,few clouds
6,Narsaq,GL,60.9167,-46.05,0.0,49,0,16.26,clear sky
7,Nemuro,JP,43.3236,145.575,27.03,62,38,17.92,scattered clouds
8,Haines Junction,CA,60.7522,-137.5108,-11.25,77,100,1.14,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,59.49,43,10,6.64,clear sky
10,Pevek,RU,69.7008,170.3133,-26.39,99,92,6.4,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,58.86,79,21,5.61,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,8.05,clear sky
13,Busselton,AU,-33.65,115.3333,108.05,33,6,9.42,clear sky
14,Tual,ID,-5.6667,132.75,83.8,77,100,16.6,overcast clouds
15,Avarua,CK,-21.2078,-159.775,80.65,78,94,13.8,overcast clouds
16,Puerto Escondido,MX,15.85,-97.0667,77.83,78,0,0.0,clear sky
17,Cape Town,ZA,-33.9258,18.4232,65.88,67,0,4.0,clear sky
18,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,46,1.99,scattered clouds
19,Bilma,NE,18.6853,12.9164,53.04,27,2,5.12,clear sky
20,Iqaluit,CA,63.7506,-68.5145,-20.47,69,75,3.44,broken clouds
21,Lebu,CL,-37.6167,-73.65,56.95,88,51,17.56,broken clouds
22,Jamestown,US,42.097,-79.2353,18.72,86,100,6.91,mist
23,Egvekinot,RU,66.3167,-179.1667,-7.31,79,0,13.53,clear sky
24,The Valley,AI,18.217,-63.0578,75.09,75,100,15.84,overcast clouds
25,Mossamedes,AO,-15.1961,12.1522,71.19,66,33,5.84,scattered clouds
26,Baharly,TM,38.4362,57.4316,54.5,36,3,11.01,clear sky
27,Birjand,IR,32.8663,59.2211,51.58,35,96,5.86,overcast clouds
28,Saint Paul Harbor,US,57.79,-152.4072,37.15,95,98,16.69,light rain
29,Coyhaique,CL,-45.5752,-72.0662,54.21,76,0,4.61,clear sky
30,Geraldton,AU,-28.7667,114.6,111.61,7,0,5.75,clear sky
31,Rikitea,PF,-23.1203,-134.9692,78.98,69,5,7.52,clear sky
32,Arraial do Cabo,BR,-22.9661,-42.0278,75.49,88,97,21.16,overcast clouds
33,Cayenne,GF,4.9333,-52.3333,79.09,86,75,7.0,light rain
34,Saint-Pierre,RE,-21.3393,55.4781,83.88,65,99,3.44,overcast clouds
35,Moshi,TZ,-3.35,37.3333,66.58,63,100,3.04,overcast clouds
36,Labuan,MY,5.2767,115.2417,89.76,66,20,3.44,few clouds
37,Pacifica,US,37.6138,-122.4869,56.14,61,0,0.0,clear sky
38,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,2.3,clear sky
39,Ürümqi,CN,43.801,87.6005,2.35,85,100,2.24,fog
40,Vardø,NO,70.3705,31.1107,21.49,90,100,25.81,light snow
41,Serov,RU,59.6033,60.5787,16.45,96,100,5.73,light snow
42,Ahipara,NZ,-35.1667,173.1667,71.02,98,95,13.18,moderate rain
43,Tiksi,RU,71.6872,128.8694,-22.16,98,73,7.45,broken clouds
44,Itoman,JP,26.1247,127.6694,62.62,51,40,20.71,scattered clouds
45,Codrington,AU,-38.2667,141.9667,69.3,58,99,20.67,overcast clouds
46,Albany,US,42.6001,-73.9662,14.14,85,99,3.22,overcast clouds
47,São Filipe,CV,14.8961,-24.4956,72.57,72,0,12.28,clear sky
48,Ushuaia,AR,-54.8,-68.3,44.26,87,0,5.75,clear sky
